frame,x1,y1,w,h,score,ms
439,36.59,278.35,224.92,64.04,0.9927,28.5
440,37.74,278.28,224.14,64.34,0.9916,28.5
441,38.5,277.26,223.7,64.01,0.9949,27.7
442,39.26,276.12,223.34,64.2,0.9836,28.6
443,37.67,275.01,222.58,64.06,0.9908,27.2
444,37.79,274.28,221.48,63.98,0.9918,28.7
445,38.52,274.13,221.37,63.39,0.9976,27.2
446,40.14,274.1,221.1,62.99,0.9958,27.8
447,38.14,275.0,220.51,62.65,0.9962,26.8
448,37.72,274.75,220.73,62.31,0.9973,28.7
449,37.09,274.95,220.21,61.98,0.9979,27.3
450,40.62,275.49,218.31,61.77,0.9974,28.1
451,41.32,275.73,216.21,61.86,0.9987,26.9
452,46.12,276.85,213.96,61.05,0.9971,28.3
453,47.12,277.18,214.21,60.33,0.9861,26.8
454,48.91,275.92,213.83,59.86,0.9963,28.1
455,51.73,275.44,214.36,59.55,0.9914,26.8
456,52.48,275.12,215.31,59.23,0.9947,28.4
457,53.4,275.18,215.32,59.45,0.9966,27.5
458,54.31,275.51,215.67,59.25,0.996,28.0
459,55.55,275.17,216.07,58.87,0.9974,27.1
460,55.64,273.15,215.77,59.0,0.9972,28.1
461,56.58,271.11,214.97,59.21,0.9959,27.0
462,57.41,270.53,216.08,58.61,0.9968,28.1
463,56.72,269.29,215.66,58.85,0.995,27.0
464,57.26,268.88,214.56,59.12,0.9982,28.4
465,58.23,268.72,214.53,59.14,0.996,27.8
466,58.54,267.93,214.94,59.2,0.9964,28.4
467,58.35,267.55,215.71,59.22,0.9982,27.6
468,56.73,267.23,215.9,59.35,0.9991,28.2
469,57.96,267.68,214.48,59.52,0.9983,27.9
470,58.74,267.26,215.04,59.46,0.992,28.3
471,59.39,265.94,214.52,59.75,0.9939,27.9
472,58.41,264.48,214.98,60.09,0.9948,28.0
473,59.6,264.12,215.95,60.24,0.9921,28.4
474,58.53,263.89,217.14,60.39,0.993,28.1
475,57.21,264.58,216.8,60.56,0.9946,28.4
476,56.94,265.55,216.09,60.65,0.9935,27.7
477,58.18,264.69,214.97,60.79,0.9778,28.1
478,59.32,263.2,215.09,60.81,0.9931,27.4
479,60.43,262.78,214.57,61.02,0.9888,28.4
480,59.45,262.27,213.85,61.24,0.987,27.3
481,59.58,262.37,214.46,60.78,0.9731,28.5
482,58.58,262.09,214.07,60.9,0.9793,27.5
483,59.29,261.79,214.33,60.41,0.9934,28.9
484,60.26,261.76,214.03,60.83,0.9906,27.7
485,61.13,260.62,214.19,60.64,0.9827,28.7
486,59.63,260.49,214.6,60.26,0.9692,27.0
487,61.3,260.73,214.17,60.09,0.9815,28.6
488,61.77,260.31,213.75,60.53,0.9829,27.0
489,60.52,259.77,213.5,60.87,0.9876,28.6
490,62.89,259.36,213.7,60.69,0.9888,27.2
491,60.49,257.93,214.06,60.89,0.9623,28.9
492,59.32,256.58,213.6,61.2,0.9831,27.5
493,58.33,255.11,213.27,61.21,0.9921,28.4
494,60.48,253.33,213.73,60.64,0.9942,26.9
495,57.87,252.36,213.11,60.96,0.9935,28.0
496,58.46,253.63,212.77,60.02,0.9944,26.8
497,60.21,252.45,212.28,60.15,0.9839,28.2
498,60.03,250.63,212.95,60.43,0.9877,27.1
499,59.53,249.29,212.97,60.18,0.9903,28.8
500,60.29,250.04,212.19,59.88,0.9886,27.8
501,58.94,249.12,213.25,59.54,0.975,28.1
502,59.97,248.01,213.41,59.3,0.9885,27.0
503,57.99,246.48,213.06,59.38,0.9865,27.7
504,58.25,246.48,212.55,58.94,0.9961,27.1
505,58.08,246.2,211.56,59.01,0.9917,28.6
506,59.63,245.54,211.22,59.08,0.9913,27.0
507,57.53,245.78,210.54,59.15,0.9877,28.3
508,56.54,246.42,210.7,59.19,0.986,27.0
509,57.89,247.57,209.85,58.8,0.9885,28.4
510,56.0,248.45,210.14,58.6,0.9934,27.3
511,55.29,249.6,210.36,58.69,0.9895,28.6
512,56.99,250.89,209.62,58.29,0.9939,27.4
513,56.66,250.1,209.35,57.99,0.991,28.3
514,55.94,249.93,208.96,57.99,0.9869,27.5
515,57.46,249.61,208.3,57.68,0.9911,28.3
516,58.88,250.56,208.45,58.08,0.9946,27.4
