frame,x1,y1,w,h,score,ms
455,15.96,271.23,253.0,77.32,0.8992,26.9
456,27.54,274.23,254.09,76.72,0.8821,28.5
457,22.47,276.69,253.0,75.67,0.8892,27.2
458,17.3,280.52,250.88,76.68,0.6991,28.8
459,27.57,273.84,254.66,76.01,0.8607,27.4
460,28.12,277.41,252.54,75.27,0.6571,28.5
461,17.7,268.61,253.27,75.1,0.7511,27.2
462,24.57,272.35,255.69,74.41,0.7735,28.8
463,29.79,273.83,252.64,75.52,0.9239,28.0
464,25.79,276.72,252.71,74.95,0.5999,28.5
465,17.73,268.77,253.94,75.39,0.8722,27.9
466,27.29,269.33,255.54,75.08,0.7276,28.2
467,33.7,273.25,253.7,75.88,0.8514,28.8
468,25.81,264.93,256.32,75.28,0.8291,28.2
469,38.81,268.45,256.22,74.77,0.844,28.3
470,25.65,271.45,255.81,74.33,0.6414,27.2
471,30.63,263.1,256.36,73.76,0.6741,28.6
472,27.45,267.17,255.55,73.77,0.8206,27.4
473,37.33,268.0,254.49,73.63,0.6679,28.7
474,26.79,269.7,252.89,73.79,0.7124,27.7
475,26.91,272.31,251.41,74.43,0.6595,29.0
476,21.34,262.38,252.19,75.12,0.7415,27.3
477,27.85,269.32,251.85,73.72,0.7815,28.8
478,30.69,270.21,250.78,74.03,0.7286,27.4
479,17.08,262.41,250.03,73.91,0.7692,28.9
480,31.13,265.93,251.22,72.74,0.7239,27.9
481,31.74,271.24,251.25,71.74,0.8104,28.4
482,10.93,266.05,253.39,71.22,0.7788,27.4
483,37.08,269.02,249.31,73.05,0.8049,28.0
484,23.85,255.82,249.12,72.33,0.7408,27.6
485,40.32,261.61,245.74,72.43,0.8562,29.5
486,32.83,267.0,242.95,72.26,0.9277,28.4
487,44.2,255.44,245.34,71.3,0.6936,28.3
488,47.01,262.05,242.42,71.89,0.8784,28.6
489,39.53,264.34,241.87,71.32,0.7902,27.8
490,34.83,266.8,238.29,72.95,0.7415,29.0
491,35.25,257.07,241.13,70.37,0.7505,27.9
492,36.05,260.91,236.49,71.19,0.893,28.3
493,40.82,250.95,240.21,69.17,0.8807,27.4
494,33.31,254.0,239.71,70.2,0.8256,28.7
495,32.91,256.86,237.8,69.06,0.7986,27.2
496,35.53,256.97,237.11,68.57,0.7852,28.9
497,24.14,258.75,234.33,69.4,0.8437,27.5
498,35.65,251.26,233.33,69.95,0.8041,28.6
